Name,Abbr Name,ISSN,EISSN,JIF,JIF5Years,Domain,Area,Rank,Normalized Journal,Journal_Abbreviation,Acronym_Candidate
MEDICAL CARE RESEARCH AND REVIEW,MED CARE RES REV,1077-5587,1552-6801,2.4,2.8,HEALTH POLICY & SERVICES,Q2,49/118,medical care research and review,,
FUNGAL GENETICS AND BIOLOGY,FUNGAL GENET BIOL,1087-1845,1096-0937,2.4,3.0,MYCOLOGY,Q3,17/33,fungal genetics and biology,,FUNGAL
Medicina del Lavoro,MED LAV,0025-7818,0025-7818,2.4,2.1,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Q2,163/403,medicina del lavoro,,
GENES BRAIN AND BEHAVIOR,GENES BRAIN BEHAV,1601-1848,1601-183X,2.4,2.9,NEUROSCIENCES,Q3,195/310,genes brain and behavior,,GENES
Journal of Agrarian Change,J AGRAR CHANGE,1471-0358,1471-0366,2.4,2.4,ECONOMICS,Q2,165/597,journal of agrarian change,,
UROLOGIC CLINICS OF NORTH AMERICA,UROL CLIN N AM,0094-0143,1558-318X,2.4,2.4,UROLOGY & NEPHROLOGY,Q2,46/126,urologic clinics of north america,,
GEBURTSHILFE UND FRAUENHEILKUNDE,GEBURTSH FRAUENHEILK,0016-5751,1438-8804,2.4,2.3,OBSTETRICS & GYNECOLOGY,Q2,48/136,geburtshilfe und frauenheilkunde,,
PSYCHOLOGY & HEALTH,PSYCHOL HEALTH,0887-0446,1476-8321,2.4,3.2,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Q2,163/403,psychology and health,,
JOURNAL OF GAMBLING STUDIES,J GAMBL STUD,1050-5350,1573-3602,2.4,2.7,SUBSTANCE ABUSE,Q2,27/55,journal of gambling studies,,
Health Psychology and Behavioral Medicine,HEALTH PSYCHOL BEHAV,2164-2850,2164-2850,2.4,3.2,"PSYCHOLOGY, CLINICAL",Q2,65/180,health psychology and behavioral medicine,,
JOURNAL OF TRAUMATIC STRESS,J TRAUMA STRESS,0894-9867,1573-6598,2.4,3.9,"PSYCHOLOGY, CLINICAL",Q2,65/180,journal of traumatic stress,,
OCCUPATIONAL MEDICINE-OXFORD,OCCUP MED-OXFORD,0962-7480,1471-8405,2.4,2.8,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Q2,163/403,occupational medicine oxford,,
URBAN AFFAIRS REVIEW,URBAN AFF REV,1078-0874,1552-8332,2.4,2.7,URBAN STUDIES,Q2,24/77,urban affairs review,,URBAN
ZFW-Advances in Economic Geography,ZFW-ADV ECON GEOGR,2748-1956,2748-1964,2.4,2.4,GEOGRAPHY,Q2,43/171,zfw advances in economic geography,,
Blood Transfusion,BLOOD TRANSFUS-ITALY,1723-2007,1723-2007,2.4,3.1,HEMATOLOGY,Q2,46/97,blood transfusion,,
Eating Behaviors,EAT BEHAV,1471-0153,1873-7358,2.4,2.7,"PSYCHOLOGY, CLINICAL",Q2,65/180,eating behaviors,,
Preventive Medicine Reports,PREV MED REP,,2211-3355,2.4,,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Q2,163/403,preventive medicine reports,,
Psychology & Sexuality,PSYCHOL SEX,1941-9899,1941-9902,2.4,3.2,"PSYCHOLOGY, MULTIDISCIPLINARY",Q2,65/218,psychology and sexuality,,
UROLOGIC ONCOLOGY-SEMINARS AND ORIGINAL INVESTIGATIONS,UROL ONCOL-SEMIN ORI,1078-1439,1873-2496,2.4,2.5,UROLOGY & NEPHROLOGY,Q2,46/126,urologic oncology seminars and original investigations,,
JOURNAL OF MANUFACTURING SCIENCE AND ENGINEERING-TRANSACTIONS OF THE ASME,J MANUF SCI E-T ASME,1087-1357,1528-8935,2.4,3.0,"ENGINEERING, MECHANICAL",Q2,68/180,journal of manufacturing science and engineering transactions of the asme,,
Neuro-Oncology Practice,NEURO-ONCOL PRACT,2054-2577,2054-2585,2.4,2.4,CLINICAL NEUROLOGY,Q2,137/277,neuro oncology practice,,
Aslib Journal of Information Management,ASLIB J INFORM MANAG,2050-3806,1758-3748,2.4,2.5,INFORMATION SCIENCE & LIBRARY SCIENCE,Q2,46/160,aslib journal of information management,,
International Journal of Software Science and Computational Intelligence-IJSSCI,INT J SOFTW SCI COMP,1942-9045,1942-9037,2.4,,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",Q2,54/131,international journal of software science and computational intelligence ijssci,,
Transforming Government- People Process and Policy,TRANSFORM GOV-PEOPLE,1750-6166,1750-6174,2.4,2.5,INFORMATION SCIENCE & LIBRARY SCIENCE,Q2,46/160,transforming government people process and policy,,
LIBRARY & INFORMATION SCIENCE RESEARCH,LIBR INFORM SCI RES,0740-8188,1873-1848,2.4,2.7,INFORMATION SCIENCE & LIBRARY SCIENCE,Q2,46/160,library and information science research,,
Revista Iberoamericana de Psicologia y Salud,REV IBEROAM PSICOL S,2171-2069,1989-9246,2.4,2.1,"PSYCHOLOGY, MULTIDISCIPLINARY",Q2,65/218,revista iberoamericana de psicologia y salud,,
Surgical Oncology Clinics of North America,SURG ONCOL CLIN N AM,1055-3207,1558-5042,2.4,2.8,SURGERY,Q2,73/290,surgical oncology clinics of north america,,
Current Dermatology Reports,CURR DERMATOL REP,2162-4933,2162-4933,2.4,2.3,DERMATOLOGY,Q2,39/94,current dermatology reports,,
Environment and Planning C-Politics and Space,ENVIRON PLAN C-POLIT,2399-6544,2399-6552,2.4,3.1,REGIONAL & URBAN PLANNING,Q2,26/54,environment and planning c politics and space,,
Health Promotion Perspectives,HEALTH PROMOT PERSPE,2228-6497,2228-6497,2.4,3.0,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Q2,163/403,health promotion perspectives,,
Respiratory Investigation,RESPIR INVESTIG,2212-5345,2212-5353,2.4,2.4,RESPIRATORY SYSTEM,Q2,47/100,respiratory investigation,,
Dementia-International Journal of Social Research and Practice,DEMENTIA-LONDON,1471-3012,1741-2684,2.4,2.6,GERONTOLOGY,Q2,16/47,dementia international journal of social research and practice,,
Geriatrics & Gerontology International,GERIATR GERONTOL INT,1444-1586,1447-0594,2.4,3.1,GERONTOLOGY,Q2,16/47,geriatrics and gerontology international,,
International Journal of Workplace Health Management,INT J WORKPLACE HEAL,1753-8351,1753-836X,2.4,2.1,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Q2,163/403,international journal of workplace health management,,
Journal of Chinese Economic and Business Studies,J CHIN ECON BUS STUD,1476-5284,1476-5292,2.4,1.9,ECONOMICS,Q2,165/597,journal of chinese economic and business studies,,
Tropical Diseases Travel Medicine and Vaccines,TROP DIS TRAVEL MED,2055-0936,2055-0936,2.4,2.5,TROPICAL MEDICINE,Q2,10/28,tropical diseases travel medicine and vaccines,,
BMJ Open,BMJ OPEN,2044-6055,2044-6055,2.4,2.7,"MEDICINE, GENERAL & INTERNAL",Q1,80/325,bmj open,,BMJ
JOURNAL OF ECOTOURISM,J ECOTOURISM,1472-4049,1747-7638,2.4,,"HOSPITALITY, LEISURE, SPORT & TOURISM",Q2,58/139,journal of ecotourism,,
JOURNAL OF NEUROPSYCHIATRY AND CLINICAL NEUROSCIENCES,J NEUROPSYCH CLIN N,0895-0172,1545-7222,2.4,2.8,PSYCHIATRY,Q2,126/276,journal of neuropsychiatry and clinical neurosciences,,
Medicina-Lithuania,MEDICINA-LITHUANIA,1010-660X,1648-9144,2.4,2.7,"MEDICINE, GENERAL & INTERNAL",Q1,80/325,medicina lithuania,,
PEDIATRIC BLOOD & CANCER,PEDIATR BLOOD CANCER,1545-5009,1545-5017,2.4,2.9,PEDIATRICS,Q1,46/186,pediatric blood and cancer,,
I-Perception,I-PERCEPTION,2041-6695,2041-6695,2.4,1.8,"PSYCHOLOGY, EXPERIMENTAL",Q2,32/99,i perception,,
Asian Journal of Urology,ASIAN J UROL,2214-3882,2214-3890,2.4,2.7,UROLOGY & NEPHROLOGY,Q2,46/126,asian journal of urology,,
Cancer Epidemiology,CANCER EPIDEMIOL,1877-7821,1877-783X,2.4,2.7,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Q2,163/403,cancer epidemiology,,
International Journal of Clinical Oncology,INT J CLIN ONCOL,1341-9625,1437-7772,2.4,2.8,ONCOLOGY,Q3,193/322,international journal of clinical oncology,,
JCR-JOURNAL OF CLINICAL RHEUMATOLOGY,JCR-J CLIN RHEUMATOL,1076-1608,1536-7355,2.4,2.3,RHEUMATOLOGY,Q2,26/57,jcr journal of clinical rheumatology,,
Journal of Hospital Medicine,J HOSP MED,1553-5592,1553-5606,2.4,2.6,"MEDICINE, GENERAL & INTERNAL",Q1,80/325,journal of hospital medicine,,
NEUROLOGIC CLINICS,NEUROL CLIN,0733-8619,1557-9875,2.4,3.4,NEUROSCIENCES,Q3,195/310,neurologic clinics,,
Pharmacy Practice-Granada,PHARM PRACT-GRANADA,1885-642X,1886-3655,2.4,2.5,PHARMACOLOGY & PHARMACY,Q3,188/354,pharmacy practice granada,,
INTERNATIONAL JOURNAL OF METHODS IN PSYCHIATRIC RESEARCH,INT J METH PSYCH RES,1049-8931,1557-0657,2.4,4.0,PSYCHIATRY,Q2,126/276,international journal of methods in psychiatric research,,
MONTHLY LABOR REVIEW,MON LABOR REV,0098-1818,1937-4658,2.4,2.1,INDUSTRIAL RELATIONS & LABOR,Q2,19/49,monthly labor review,,
Pacific Asia Journal of the Association for Information Systems,PAC ASIA J ASSOC INF,1943-7536,1943-7544,2.4,2.1,INFORMATION SCIENCE & LIBRARY SCIENCE,Q2,46/160,pacific asia journal of the association for information systems,,
Accounting Research Journal,ACCOUNT RES J,1030-9616,1839-5465,2.4,2.3,"BUSINESS, FINANCE",Q2,81/231,accounting research journal,,
Case Studies on Transport Policy,CASE STUD TRANSP POL,2213-624X,2213-6258,2.4,2.5,TRANSPORTATION,Q3,36/57,case studies on transport policy,,
IEEE Transactions on Molecular Biological and Multi-Scale Communications,IEEE T MOL BIO MULT,,2332-7804,2.4,,TELECOMMUNICATIONS,Q3,65/119,ieee transactions on molecular biological and multi scale communications,,IEEE
CLINICAL CARDIOLOGY,CLIN CARDIOL,0160-9289,1932-8737,2.4,2.7,CARDIAC & CARDIOVASCULAR SYSTEMS,Q2,97/220,clinical cardiology,,
International Journal of Rheumatic Diseases,INT J RHEUM DIS,1756-1841,1756-185X,2.4,2.5,RHEUMATOLOGY,Q2,26/57,international journal of rheumatic diseases,,
Journal of Cardiovascular Development and Disease,J CARDIOVASC DEV DIS,,2308-3425,2.4,2.6,CARDIAC & CARDIOVASCULAR SYSTEMS,Q2,97/220,journal of cardiovascular development and disease,,
Wellbeing Space and Society,WELLBEING SPACE SOC,2666-5581,2666-5581,2.4,2.4,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Q2,163/403,wellbeing space and society,,
Acupuncture in Medicine,ACUPUNCT MED,0964-5284,1759-9873,2.4,2.4,INTEGRATIVE & COMPLEMENTARY MEDICINE,Q2,15/43,acupuncture in medicine,,
International Journal of Organizational Analysis,INT J ORGAN ANAL,1934-8835,1758-8561,2.4,2.8,MANAGEMENT,Q3,217/401,international journal of organizational analysis,,
Vietnam Journal of Earth Sciences,VIETNAM J EARTH SCI,0866-7187,2615-9783,2.4,2.0,"GEOSCIENCES, MULTIDISCIPLINARY",Q2,112/253,vietnam journal of earth sciences,,
Baltic Journal of Management,BALT J MANAG,1746-5265,1746-5273,2.4,3.2,MANAGEMENT,Q3,217/401,baltic journal of management,,
Cognition Technology & Work,COGN TECHNOL WORK,1435-5558,1435-5566,2.4,2.8,ERGONOMICS,Q2,11/24,cognition technology and work,,
Contemporary Economics,CONTEMP ECON,2084-0845,2300-8814,2.4,1.7,ECONOMICS,Q2,165/597,contemporary economics,,
International Journal of Housing Policy,INT J HOUS POLICY,1949-1247,1949-1255,2.4,2.8,URBAN STUDIES,Q2,24/77,international journal of housing policy,,
ATLA-ALTERNATIVES TO LABORATORY ANIMALS,ATLA-ALTERN LAB ANIM,0261-1929,2632-3559,2.4,2.5,"MEDICINE, RESEARCH & EXPERIMENTAL",Q3,105/189,atla alternatives to laboratory animals,,
Injury Epidemiology,INJURY EPIDEMIOL,,2197-1714,2.4,,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Q2,163/403,injury epidemiology,,
Journal of Accounting and Organizational Change,J ACCOUNT ORGAN CHAN,1832-5912,1839-5473,2.4,2.4,"BUSINESS, FINANCE",Q2,81/231,journal of accounting and organizational change,,
Local Environment,LOCAL ENVIRON,1354-9839,1469-6711,2.4,3.2,URBAN STUDIES,Q2,24/77,local environment,,
Operations and Supply Chain Management-An International Journal,OPER SUPPLY CHAIN MA,1979-3561,2579-9363,2.4,2.1,MANAGEMENT,Q3,217/401,operations and supply chain management an international journal,,
HOUSING STUDIES,HOUSING STUD,0267-3037,1466-1810,2.4,3.1,URBAN STUDIES,Q2,24/77,housing studies,,HOUSING
PAPERS IN REGIONAL SCIENCE,PAP REG SCI,1056-8190,1435-5957,2.4,2.7,REGIONAL & URBAN PLANNING,Q2,26/54,papers in regional science,,
Respiratory Care,RESP CARE,0020-1324,1943-3654,2.4,2.6,RESPIRATORY SYSTEM,Q2,47/100,respiratory care,,
Environmental Sociology,ENVIRON SOCIOL,2325-1042,2325-1042,2.4,3.4,ENVIRONMENTAL STUDIES,Q3,97/182,environmental sociology,,
Experimental and Therapeutic Medicine,EXP THER MED,1792-0981,1792-1015,2.4,2.3,"MEDICINE, RESEARCH & EXPERIMENTAL",Q3,105/189,experimental and therapeutic medicine,,
SALUD PUBLICA DE MEXICO,SALUD PUBLICA MEXICO,0036-3634,1606-7916,2.4,2.3,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Q2,163/403,salud publica de mexico,,SALUD
Water Alternatives-An Interdisciplinary Journal on Water Politics and Development,WATER ALTERN,1965-0175,1965-0175,2.4,2.2,WATER RESOURCES,Q2,59/127,water alternatives an interdisciplinary journal on water politics and development,,
Frontline Gastroenterology,FRONTLINE GASTROENTE,2041-4137,2041-4145,2.4,2.5,GASTROENTEROLOGY & HEPATOLOGY,Q3,78/143,frontline gastroenterology,,
JOURNAL OF HEALTH POPULATION AND NUTRITION,J HEALTH POPUL NUTR,1606-0997,2072-1315,2.4,2.7,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Q2,163/403,journal of health population and nutrition,,
PRACTICAL NEUROLOGY,PRACT NEUROL,1474-7758,1474-7766,2.4,,CLINICAL NEUROLOGY,Q2,137/277,practical neurology,,
WMU Journal of Maritime Affairs,WMU J MARIT AFF,1651-436X,1654-1642,2.4,2.4,TRANSPORTATION,Q3,36/57,wmu journal of maritime affairs,,WMU
Journal of the Economic Science Association-JESA,J ECON SCI ASSOC-JES,2199-6776,2199-6784,2.4,1.9,ECONOMICS,Q2,165/597,journal of the economic science association jesa,,
Journal of Enterprising Communities-People and Places in the Global Economy,J ENTERP COMMUNITIES,1750-6204,1750-6212,2.4,2.7,BUSINESS,Q3,159/302,journal of enterprising communities people and places in the global economy,,
Seminars in Pediatric Neurology,SEMIN PEDIATR NEUROL,1071-9091,1558-0776,2.4,2.6,PEDIATRICS,Q1,46/186,seminars in pediatric neurology,,
Hormones-International Journal of Endocrinology and Metabolism,HORM-INT J ENDOCRINO,1109-3099,2520-8721,2.4,3.1,ENDOCRINOLOGY & METABOLISM,Q3,121/186,hormones international journal of endocrinology and metabolism,,
INTERNATIONAL JOURNAL OF MARKET RESEARCH,INT J MARKET RES,1470-7853,2515-2173,2.4,3.0,BUSINESS,Q3,159/302,international journal of market research,,
CURRENT HISTORY,CURR HIST,0011-3530,1944-785X,2.4,1.3,POLITICAL SCIENCE,Q1,70/317,current history,,
International Journal of Educational Management,INT J EDUC MANAG,0951-354X,1758-6518,2.4,2.3,MANAGEMENT,Q3,217/401,international journal of educational management,,
CURRENT DIABETES REVIEWS,CURR DIABETES REV,1573-3998,1875-6417,2.4,2.8,ENDOCRINOLOGY & METABOLISM,Q3,121/186,current diabetes reviews,,
International Journal of Information and Learning Technology,INT J INF LEARN TECH,2056-4880,2056-4880,2.4,3.0,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",Q3,91/169,international journal of information and learning technology,,
SEXUALLY TRANSMITTED DISEASES,SEX TRANSM DIS,0148-5717,1537-4521,2.4,2.2,INFECTIOUS DISEASES,Q3,77/132,sexually transmitted diseases,,
Multimodal Technologies and Interaction,MULTIMODAL TECHNOLOG,,2414-4088,2.4,,"COMPUTER SCIENCE, INFORMATION SYSTEMS",Q3,126/249,multimodal technologies and interaction,,
Regenerative Medicine,REGEN MED,1746-0751,1746-076X,2.4,2.8,"ENGINEERING, BIOMEDICAL",Q3,73/122,regenerative medicine,,
ECONOMIST-NETHERLANDS,ECONOMIST-NETHERLAND,0013-063X,1572-9982,2.4,2.3,ECONOMICS,Q2,165/597,economist netherlands,,
International Journal of Renewable Energy Development-IJRED,INT J RENEW ENERGY D,2252-4940,2252-4940,2.4,2.2,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,Q3,68/91,international journal of renewable energy development ijred,,
Sexual Development,SEX DEV,1661-5425,1661-5433,2.4,1.9,DEVELOPMENTAL BIOLOGY,Q2,17/39,sexual development,,
Innovation and Emerging Technologies,INNOV EMERG TECHNOL,2737-5994,2810-9007,2.4,2.8,"ENGINEERING, MULTIDISCIPLINARY",Q2,46/179,innovation and emerging technologies,,
CURRENT CARDIOLOGY REVIEWS,CURR CARDIOL REV,1573-403X,1875-6557,2.4,3.1,CARDIAC & CARDIOVASCULAR SYSTEMS,Q2,97/220,current cardiology reviews,,
Chemistry-Switzerland,CHEMISTRY-BASEL,,2624-8549,2.4,2.4,"CHEMISTRY, MULTIDISCIPLINARY",Q3,118/230,chemistry switzerland,,
Journal of Molecular and Engineering Materials,J MOL ENG MATER,2251-2373,2251-2381,2.4,2.1,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Q3,267/438,journal of molecular and engineering materials,,
International Journal of Industrial Engineering and Management,INT J IND ENG MANAGE,2217-2661,2683-345X,2.4,,"ENGINEERING, INDUSTRIAL",Q2,34/69,international journal of industrial engineering and management,,
Journal of Agricultural Engineering,J AGRIC ENG-ITALY,1974-7071,2239-6268,2.4,2.5,AGRICULTURAL ENGINEERING,Q2,8/20,journal of agricultural engineering,,
JOURNAL FOR THE SCIENTIFIC STUDY OF RELIGION,J SCI STUD RELIG,0021-8294,1468-5906,2.3,2.8,SOCIOLOGY,Q2,55/217,journal for the scientific study of religion,,
Historic Environment-Policy & Practice,HIST ENVIRON POLICY,1756-7505,1756-7513,2.3,1.8,"HUMANITIES, MULTIDISCIPLINARY",N/A,N/A,historic environment policy and practice,,
UCLA LAW REVIEW,UCLA LAW REV,0041-5650,1943-1724,2.3,2.2,LAW,Q1,24/421,ucla law review,,UCLA
EUROPEAN SOCIETIES,EUR SOC,1461-6696,1469-8307,2.3,5.0,SOCIOLOGY,Q2,55/217,european societies,,
China Information,CHINA INFORM,0920-203X,1741-590X,2.3,2.1,AREA STUDIES,Q1,9/176,china information,,
Asian Education and Development Studies,ASIAN EDUC DEV STUD,2046-3162,2046-3170,2.3,1.4,EDUCATION & EDUCATIONAL RESEARCH,Q1,156/756,asian education and development studies,,
LAW & SOCIETY REVIEW,LAW SOC REV,0023-9216,1540-5893,2.3,3.0,SOCIOLOGY,Q2,55/217,law and society review,,LAW
PACIFIC REVIEW,PAC REV,0951-2748,1470-1332,2.3,2.3,INTERNATIONAL RELATIONS,Q1,31/165,pacific review,,
Business and Human Rights Journal,BUS HUM RIGHTS J,2057-0198,2057-0201,2.3,2.1,LAW,Q1,24/421,business and human rights journal,,
REMEDIAL AND SPECIAL EDUCATION,REM SPEC EDUC,0741-9325,1538-4756,2.3,3.4,"EDUCATION, SPECIAL",Q1,6/62,remedial and special education,,
PSYCHOLOGY PUBLIC POLICY AND LAW,PSYCHOL PUBLIC POL L,1076-8971,1939-1528,2.3,2.5,"PSYCHOLOGY, MULTIDISCIPLINARY",Q2,73/218,psychology public policy and law,,
INTERNATIONAL MIGRATION REVIEW,INT MIGR REV,0197-9183,1747-7379,2.3,3.6,DEMOGRAPHY,Q1,11/49,international migration review,,
AMERICAN JOURNAL OF SPEECH-LANGUAGE PATHOLOGY,AM J SPEECH-LANG PAT,1058-0360,1558-9110,2.3,2.9,REHABILITATION,Q1,26/169,american journal of speech language pathology,,
HEAD AND NECK-JOURNAL FOR THE SCIENCES AND SPECIALTIES OF THE HEAD AND NECK,HEAD NECK-J SCI SPEC,1043-3074,1097-0347,2.3,2.8,SURGERY,Q2,79/290,head and neck journal for the sciences and specialties of the head and neck,,HEAD
Journal of Intervention and Statebuilding,J INTERV STATEBUILD,1750-2977,1750-2985,2.3,2.1,INTERNATIONAL RELATIONS,Q1,31/165,journal of intervention and statebuilding,,
European Journal of General Practice,EUR J GEN PRACT,1381-4788,1751-1402,2.3,3.2,PRIMARY HEALTH CARE,Q2,14/30,european journal of general practice,,
CROSS-CULTURAL RESEARCH,CROSS-CULT RES,1069-3971,1552-3578,2.3,2.3,"SOCIAL SCIENCES, INTERDISCIPLINARY",Q1,43/263,cross cultural research,,
MEDIA CULTURE & SOCIETY,MEDIA CULT SOC,0163-4437,1460-3675,2.3,3.5,SOCIOLOGY,Q2,55/217,media culture and society,,MEDIA
INTERNATIONAL REVIEW OF EDUCATION,INT REV EDUC,0020-8566,1573-0638,2.3,3.3,EDUCATION & EDUCATIONAL RESEARCH,Q1,156/756,international review of education,,
RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES,RETINA-J RET VIT DIS,0275-004X,1539-2864,2.3,2.7,OPHTHALMOLOGY,Q2,32/95,retina the journal of retinal and vitreous diseases,,
Medicine Health Care and Philosophy,MED HEALTH CARE PHIL,1386-7423,1572-8633,2.3,2.3,HISTORY & PHILOSOPHY OF SCIENCE,Q1,10/104,medicine health care and philosophy,,
JOURNAL OF NEUROSURGICAL ANESTHESIOLOGY,J NEUROSURG ANESTH,0898-4921,1537-1921,2.3,2.4,SURGERY,Q2,79/290,journal of neurosurgical anesthesiology,,
Asia Pacific Education Review,ASIA PAC EDUC REV,1598-1037,1876-407X,2.3,2.6,EDUCATION & EDUCATIONAL RESEARCH,Q1,156/756,asia pacific education review,,
OXFORD REVIEW OF EDUCATION,OXFORD REV EDUC,0305-4985,1465-3915,2.3,2.7,EDUCATION & EDUCATIONAL RESEARCH,Q1,156/756,oxford review of education,,OXFORD
Early Childhood Education Journal,EARLY CHILD EDUC J,1082-3301,1573-1707,2.3,2.5,EDUCATION & EDUCATIONAL RESEARCH,Q1,156/756,early childhood education journal,,
JOURNAL OF CURRICULUM STUDIES,J CURRICULUM STUD,0022-0272,1366-5839,2.3,2.4,EDUCATION & EDUCATIONAL RESEARCH,Q1,156/756,journal of curriculum studies,,
INTERNATIONAL POLITICAL SCIENCE REVIEW,INT POLIT SCI REV,0192-5121,1460-373X,2.3,2.7,POLITICAL SCIENCE,Q1,75/317,international political science review,,
CALICO Journal,CALICO J,2056-9017,2056-9017,2.3,2.1,EDUCATION & EDUCATIONAL RESEARCH,Q1,156/756,calico journal,,CALICO
AMERICAN JOURNAL OF ORTHOPSYCHIATRY,AM J ORTHOPSYCHIAT,0002-9432,1939-0025,2.3,3.1,SOCIAL WORK,Q1,8/91,american journal of orthopsychiatry,,
AMERICAN JOURNAL OF PSYCHOTHERAPY,AM J PSYCHOTHER,0002-9564,2575-6559,2.3,1.9,"PSYCHOLOGY, CLINICAL",Q2,70/180,american journal of psychotherapy,,
JOURNAL OF FURTHER AND HIGHER EDUCATION,J FURTH HIGHER EDUC,0309-877X,1469-9486,2.3,2.2,EDUCATION & EDUCATIONAL RESEARCH,Q1,156/756,journal of further and higher education,,
SOCIAL WORK,SOC WORK,0037-8046,1545-6846,2.3,3.0,SOCIAL WORK,Q1,8/91,social work,,
BMC EMERGENCY MEDICINE,BMC EMERG MED,1471-227X,1471-227X,2.3,2.5,EMERGENCY MEDICINE,Q1,13/54,bmc emergency medicine,,BMC
Affilia-Feminist Inquiry in Social Work,AFFILIA,0886-1099,1552-3020,2.3,2.5,WOMENS STUDIES,Q1,9/66,affilia feminist inquiry in social work,,
COGNITION AND INSTRUCTION,COGNITION INSTRUCT,0737-0008,1532-690X,2.3,3.7,"PSYCHOLOGY, EXPERIMENTAL",Q2,34/99,cognition and instruction,,COGNITION
Review of Policy Research,REV POLICY RES,1541-132X,1541-1338,2.3,2.5,PUBLIC ADMINISTRATION,Q2,37/91,review of policy research,,
TERRORISM AND POLITICAL VIOLENCE,TERROR POLIT VIOLENC,0954-6553,1556-1836,2.3,2.4,POLITICAL SCIENCE,Q1,75/317,terrorism and political violence,,
Asian Spine Journal,ASIAN SPINE J,1976-1902,1976-7846,2.3,2.3,ORTHOPEDICS,Q2,38/136,asian spine journal,,
Contemporary Politics,CONTEMP POLIT,1356-9775,1469-3631,2.3,2.4,POLITICAL SCIENCE,Q1,75/317,contemporary politics,,
Health Care Management Science,HEALTH CARE MANAG SC,1386-9620,1572-9389,2.3,3.0,HEALTH POLICY & SERVICES,Q2,52/118,health care management science,,
SURGEON-JOURNAL OF THE ROYAL COLLEGES OF SURGEONS OF EDINBURGH AND IRELAND,SURG-J R COLL SURG E,1479-666X,2405-5840,2.3,2.1,SURGERY,Q2,79/290,surgeon journal of the royal colleges of surgeons of edinburgh and ireland,,
Workplace Health & Safety,WORKPLACE HEALTH SAF,2165-0799,2165-0969,2.3,2.3,NURSING,Q1,44/191,workplace health and safety,,
HASTINGS CENTER REPORT,HASTINGS CENT REP,0093-0334,1552-146X,2.3,2.7,"SOCIAL SCIENCES, BIOMEDICAL",Q2,16/46,hastings center report,,HASTINGS
Educational Research and Evaluation,EDUC RES EVAL,1380-3611,1744-4187,2.3,3.4,EDUCATION & EDUCATIONAL RESEARCH,Q1,156/756,educational research and evaluation,,
Frontiers in Global Womens Health,FRONT GLOB WOMEN HLT,,2673-5059,2.3,2.9,WOMENS STUDIES,Q1,9/66,frontiers in global womens health,,
WORLD JOURNAL OF SURGERY,WORLD J SURG,0364-2313,1432-2323,2.3,2.8,SURGERY,Q2,79/290,world journal of surgery,,WORLD
PUNISHMENT & SOCIETY-INTERNATIONAL JOURNAL OF PENOLOGY,PUNISHM SOC,1462-4745,1741-3095,2.3,2.6,CRIMINOLOGY & PENOLOGY,Q1,16/113,punishment and society international journal of penology,,
CLINICS IN DERMATOLOGY,CLIN DERMATOL,0738-081X,1879-1131,2.3,3.1,DERMATOLOGY,Q2,41/94,clinics in dermatology,,
Discourse Context & Media,DISCOURSE CONTEXT ME,2211-6958,2211-6966,2.3,2.3,COMMUNICATION,Q1,53/227,discourse context and media,,
JOURNAL OF SPORTS SCIENCES,J SPORT SCI,0264-0414,1466-447X,2.3,3.4,SPORT SCIENCES,Q2,41/127,journal of sports sciences,,
Journal of Youth Studies,J YOUTH STUD,1367-6261,1469-9680,2.3,2.5,"SOCIAL SCIENCES, INTERDISCIPLINARY",Q1,43/263,journal of youth studies,,
CYTOMETRY PART B-CLINICAL CYTOMETRY,CYTOM PART B-CLIN CY,1552-4949,1552-4957,2.3,2.5,PATHOLOGY,Q2,42/88,cytometry part b clinical cytometry,,
International Journal of Paediatric Dentistry,INT J PAEDIATR DENT,0960-7439,1365-263X,2.3,2.9,PEDIATRICS,Q2,53/186,international journal of paediatric dentistry,,
CRITICAL SOCIAL POLICY,CRIT SOC POLICY,0261-0183,1461-703X,2.3,2.7,"SOCIAL SCIENCES, INTERDISCIPLINARY",Q1,43/263,critical social policy,,
